id,sentence,verb,xcomp,level,sub
35266,"Tartus saab näiteks ise šokolaadi ja martsipani teha, osa võtta keemia- ja füüsikateatrist, võib ringi käia Tähetornis ja vaadata tähti, võib õppida ilma prognoosima ja vanadest patareidest põnevaid asju ehitada.",õppima,prognoosima,kl6,", võib õppida prognoosima"
35461,Õpime ratsutama.,õppima,ratsutama,kl6,Õpime ratsutama .
35486,Kuigi tegelikult tahaksin üle kõige ratsutama õppida.,õppima,ratsutama,kl6,üle ratsutama õppida
35935,Võiksime teha jalgrattamatka!,tegema,jalgrattama,kl6,Võiksime teha jalgrattamatka !
35959,Teeme parem jalgrattamatka.,tegema,jalgrattama,kl6,Teeme parem jalgrattamatka .
36381,"Tore oli, et õppisime uusi mänge mängima.",õppima,mängima,kl6,", et õppisime mängima"
36389,"Meil oli kunagi klassiõhtu, kus õppisime valssi ja džaivi tantsima.",õppima,tantsima,kl6,", kus õppisime tantsima"
37847,"Vanemad peavadki teda piirama, sest ta on veel liiga noor.",pidama,piirama,kl7,Vanemad peavadki piirama noor .
37848,Vanemad peavadki tema eest kõik ära tegema.,pidama,tegema,kl7,Vanemad peavadki tema tegema .
38027,"On tõsine oht, et varsti õpib ta jääkapi ust lahti tegema.",õppima,tegema,kl7,", et varsti õpib ta tegema"
38519,Kas see tüdruk sinu arvates on millegi väga hulluga hakkama saanud?,saama,hakkama,kl7,Kas tüdruk arvates on millegi hakkama saanud ?
38540,"Kõige parem ongi see, et sa saad lihtsalt puhata, ei ole iga päev mingi autode müra ja siis seal sa ei kipu nagu televiisorit ka päeval vaatama, et oled hästi palju väljas ja see on ka nagu hea.",kippuma,vaatama,kl7,ja siis seal sa ei kipu vaatama
38825,"Kena kodu ja et ei pea kartma, kas homme ka rahaliselt hakkama saad.",saama,hakkama,kl8,", kas homme ka rahaliselt hakkama saad"
39472,Rulluiskudega on suurel kiirusel raskem hakkama saada kui rattaga või mäesuuskadega.,saama,hakkama,kl8,hakkama saada rattaga
39652,Sellepärast pidimegi tulema matkamast tagasi.,pidama,tulema,kl8,Sellepärast pidimegi tulema matkamast tagasi .
39652,Sellepärast pidimegi tulema matkamast tagasi.,pidama,matkama,kl8,Sellepärast pidimegi tulema matkamast tagasi .
39725,"Kuulus on see inimene, kes on mõne tähtsa või uhke teoga hakkama saanud ja sel moel teistele kasulik olnud.",saama,hakkama,kl8,", kes on teoga hakkama saanud kasulik"
40179,"Kui neiud valmistusid lahkuma, võttis direktor neilt sõna, et nad tulevad varsti tagasi.",valmistuma,lahkuma,kl9,"Kui neiud valmistusid lahkuma ,"
40226,"Sellega ei saanud paljud mehed hakkama, aga mul polnud mingeid raskusi.",saama,hakkama,kl9,Sellega ei saanud mehed hakkama mul .
40321,"Tsirkusekarud pole harjunud looduses olema, nad on närvilisemad.",harjuma,olema,kl9,Tsirkusekarud pole harjunud looduses olema närvilisemad .
40338,Kuidas karu oma filmirolliga hakkama sai?,saama,hakkama,kl9,Kuidas karu filmirolliga hakkama sai ?
40405,"Loom õpib ruttu käituma nii, nagu peremees soovib.",õppima,käituma,kl9,Loom õpib käituma soovib .
