id,sentence,verb,xcomp,level,sub
17711,"Kahju, et olime nii lühikest aega ja ei jõudnud terraariumide juures olevaid tekste korralikult läbi lugeda.",jõudma,lugema,kl7,ja ei jõudnud lugeda
17795,Laura lubas oma sünnipäeval igal külalisel oma toa seinale midagi maalida.,lubama,maalima,kl7,Laura lubas sünnipäeval külalisel maalida .
17815,Missuguseid remonditöid oskad ise (oskavad vanemad) teha?,oskama,tegema,kl7,oskad ise oskavad teha ?
17908,"Inimene mõtleb ainult enda peale, aga kas ka koeral soojas korteris hea elada on, selle peale ei taha keegi mõelda.",tahtma,mõtlema,kl7,", selle ei taha keegi mõelda"
17963,"Kui saad kutsika, siis kuidas sa kavatsed teda õpetada?",kavatsema,õpetama,kl7,saad siis kuidas sa kavatsed õpetada ?
17984,"Kuhu sa, Tiina, kavatsed minna?",kavatsema,minema,kl7,"Kuhu sa , kavatsed minna ?"
17991,Oskab head muusikat valida ja rahvast lõbustada.,oskama,valima,kl7,Oskab valida .
18002,Laupäeval kavatseme õega tennist mängima minna.,kavatsema,minema,kl7,Laupäeval kavatseme minna .
18005,Kavatseme ta korteri ära koristada ja poes käia ning talle nädalaks toidukraami valmis osta.,kavatsema,koristama,kl7,Kavatseme ta koristada .
18006,Õhtul aga kavatseme korvpallivõistlusi vaatama minna.,kavatsema,minema,kl7,Õhtul aga kavatseme minna .
18010,Kas sa kavatsed hakata regulaarselt jõusaalis käima?,kavatsema,hakkama,kl7,Kas sa kavatsed hakata ?
18021,Mida kavatseb Mati esmaspäevast reedeni teha?,kavatsema,tegema,kl7,kavatseb Mati teha ?
18022,Kuhu kavatseb Tiina minna?,kavatsema,minema,kl7,Kuhu kavatseb minna ?
18030,"Mida sina kavatsed teha, et sul oleks terve nädal hea enesetunne?",kavatsema,tegema,kl7,sina kavatsed teha sul ?
18065,"Katsu rahuneda, kui hammas juba hommikust peale valutab.",katsuma,rahunema,kl7,Katsu rahuneda valutab .
18067,Ma lihtsalt ei suuda seda valu rohkem kannatada!,suutma,kannatama,kl7,Ma lihtsalt ei suuda kannatada !
18069,Sina tahad ju kaua elada!,tahtma,elama,kl7,Sina tahad ju elada !
18083,"Samuti armastab Mart nätsu närida, sest see aitab tal suud värskena hoida.",armastama,närima,kl7,Samuti armastab Mart närida aitab .
18104,Miks püüdis tüdruk hambaarstiga teistest asjadest rääkida?,püüdma,rääkima,kl7,Miks püüdis tüdruk rääkida ?
18113,Püüa rahuneda!,püüdma,rahunema,kl7,Püüa rahuneda !
18114,Püüdke rahuneda!,püüdma,rahunema,kl7,Püüdke rahuneda !
18115,Katsu rahuneda!,katsuma,rahunema,kl7,Katsu rahuneda !
18116,Katsuge rahuneda!,katsuma,rahunema,kl7,Katsuge rahuneda !
18130,"Ma ei julge arstikabinetti sisse minna, ma kardan nii väga süsti!",julgema,minema,kl7,Ma ei julge minna kardan !
