verb	compound	total
vinguma		8
saavutama		304
toimuma	ära	1
kontrollima		91
saama	sisse	22
koputama		4
jõudma	järele	2
õppima	edasi	236
surema	välja	8
levitama		8
kostuma		5
tõmbuma		2
liitma	kokku	1
seoma		176
aitama	läbi	2
laev	alla	1
idoliseerima		1
panustama		21
jalutama	ringi	6
tooma	üles	1
tõusma		67
vee		2
nägema	välja	186
unustama	ära	23
viima	kõrvale	1
lähenema		7
vähenema		39
ümisema	kaasa	2
kästma		2
itsitama	üle	1
filmima		65
rokima		1
lülitama	sisse	3
põletama		4
kombineerima		5
üllatuma		5
tansisklema		1
väsitama		9
laksma		1
soodustama		18
magama		173
täheldama		8
riskima		2
liigelma		6
püüdma		831
talletuma		2
sallima		11
osutuma		22
liitima		1
isoleerima		2
eraldama		8
kanduma	edasi	3
veenama		1
puutuma		91
veenduma		100
kustutama		11
säilitama		39
kiinduma		7
tunne		2
lodvestuma		1
minema	mööda	8
aktsepteerima		8
lendlema		1
teesklema		2
häbenema		8
ihaldama		6
aidama		26
astuma		224
treenima		11
aeema		1
elama	kaasa	12
tungima	läbi	1
peletama	eemale	1
surfama		20
kõndima	ringi	2
jämmima		1
haarama	kaasa	4
muretsema		442
kippuma		31
osama		6
kriiskama		1
võlgnema		2
pühendama		40
tekitama	juurde	5
kalduma		26
vahelduma		1
kõnetama		9
sõudma		2
kätkema		1
mõeldama		5
lähendama		20
andma	sisse	1
väsima		19
pöörama		119
keerlema		1
ärritama		7
vihastama		1
hiilima	kõrvale	1
liiguma		5
taguma		1
ahhetama		2
pöördma		2
müüma	välja	3
mööduma	ilma	1
ärkama	üles	4
varjuma		2
lahkuma		138
sulanduma		2
tegema	ette	1
takistama		15
jätma	pooleli	2
tegelema	edasi	4
sunnitama		5
kohustama		9
peegeldama		5
varjama		5
laiendama		87
kuulama	ära	4
liigitama		1
ala_hindama		2
saatma	välja	3
mängima	kõrval	1
peitma	ära	1
tõlgendama		2
töötlema		12
remixima		1
teevgamk		4
nutma		31
röövima		15
saama	vastu	4
kehtima		52
veedang		1
valmistuma	ette	4
tõusma	püsti	5
dubleerima	peale	1
vaidlema	vastu	19
laskma	valla	1
hukkuma		2
keelama	ära	1
tunnetama	ära	2
kuulama	läbi	3
tunema		7
keerama		4
rahustama	maha	1
taastama		6
olema	rahul	47
rikkuma	ära	6
tõmbama	kaasa	2
peetama		1
ohkama		2
oletama		14
sõlmima	lahti	1
viskama	ära	12
sööbima		2
õhutama		5
lööma	läbi	18
põruma		1
tähtsustama	üle	1
uuenema		7
laev	ülesse	1
märgama		8
kindlustama		12
kihutama		3
looma	juurde	1
liituma		11
kogunema	kokku	5
minema	laiali	3
mälestama		5
kõnelema		23
andma	ette	3
valitsema		15
abistama		59
kohanema		26
sisaldama		57
mõistma	hukka	5
raiskama		630
leidma	üles	22
suhelema		10
asenduma		4
süüvima		1
ergutama		2
ennetama		8
liikuma	kaasas	1
töötama	kaasa	3
domineerima		6
laitma	maha	1
lüüema	kaasa	1
spekuleerima		1
taastuma		3
ristuma		2
pingutama	edasi	3
ehitama	üles	6
koristama		92
arenema	välja	9
läbielgama		1
lahterdama		1
hoidma	kinni	16
elavama		3
rütmima		1
matama		2
uputama		3
valama		6
saatma	edasi	1
voolama		9
lisanduma	juurde	1
tabama		8
kurvastama		17
andma	kaasa	5
lösutama		2
leppima		17
jaotuma		2
rändama		17
mõtisklema		10
tüdinema		3
rajuma		1
hakkama	külge	1
jaksama		5
kirjutama	üles	1
vallandama		1
peenem		1
edundama		1
toitma		6
meelitama		7
möllama		3
asendama		45
tuupima		3
andma	kätte	1
