verb	compound	total
katsetama		425
piiritlema		161
ühinema		640
vahendama		598
edenema		230
indekseerima		13
looma	alles	7
adapteerima		7
individualiseerima		24
viima	kokku	116
lokaliseerima		50
vastutama		909
lähendama		108
juhtima	kõrvale	39
nakatuma		284
uurima	välja	90
võtma	kaasa	841
asutama		648
peletama	eemale	107
tegema	läbi	242
kulgema		759
loendama	alla	1
märkama		3357
kirjutama	sisse	82
jätma	rahule	163
minema	edasi	586
pöörduma	tagasi	303
jätma	alles	62
jääma	üle	434
kaema		459
käima	ringi	346
saama	otsa	342
meeldima		4039
minema	tagasi	560
digitaalallkirjastama		3
jõudma	ilma	1
komistama		164
sedastama		92
süvendama		189
kahekordistuma		68
kogema		712
päästma		1067
aitama	üle	12
arendama	välja	143
väärima		742
kujunema	välja, üle	1
saama	valmis	310
virguma		55
tõotama		376
leppima	kokku	720
tsentraliseerima		87
kujundama	ümber	59
ergutama		113
hoiatama		601
hoidma	mööda	1
paranema		653
korjama		494
valmistuma		486
saatma	tagasi	128
pääsema		2469
soosima		241
rajanema		182
aimama		754
kohanema		281
selginema		53
sätestama	ette	1
hõivama		305
kinnitama		5928
lühenema		66
ammendama		97
lühendama		146
vältima	välja	4
alandama		307
peituma		565
kompenseerima		260
taluma		652
kiirgama		110
dikteerima		106
tähendama	alla	1
alluma		509
tõrjuma	välja	72
samastuma		80
samastama		121
jõudma	välja	226
minema	kaasa	240
süüdistama		1039
tahtma	juurde	4
alustama	välja	3
kooskõlastama		140
langetama		649
keskendama		19
suunduma		466
tõdema		1225
põrkama		83
kirjutama	alla	468
muretsema		896
hõlbustama		128
säästma		291
painutuma		1
painduma		51
väsitama		88
tasustama		30
tasandama		69
ratsionaliseerima		9
pesitsema		90
tiirlema		144
lennutama		108
püsima		1619
lendama		1404
toitma		343
heitma		1734
kompileerima		31
vabastama		843
suruma	peale	129
sidestama		8
täienema		79
propageerima		147
omistama		543
sünkroniseerima		26
äratama		641
konkureerima		246
initsialiseerima		5
järjestama	ümber	5
andma	edasi	385
pingutama	üle	65
seiskuma		83
kõlbama		474
kutsuma	välja	135
blokeeruma		5
tarvitama		510
murdma		860
lahkama		86
ostma	ära	207
tunnistama		3773
olema	võlgu	58
vajuma		960
kasutama	ette	3
autentima		11
likvideerima		326
ähvardama		855
realiseeruma		185
värskendama		36
andma	välja	890
kuritarvitama		53
andma	kätte	11
hoidma	alles	46
signeerima	üle	1
võltsima		104
verifitseerima		13
sukelduma		184
ootama	ees	252
sõlmima		1405
eitama		502
tagama	läbi	1
väljastama	läbi	1
publitseerima	läbi	1
usaldama		812
avalikustuma		2
kestma		1776
juhinduma		125
standardima		49
toimetama		673
ebaõnnestuma		226
lukustuma		4
personaliseerima		5
väljutama		35
krüpteerima		10
tooma	ära	347
kohustama		520
külastama		857
saatma	välja	139
saatma	kokku, välja	1
allkirjastama		201
loovutama		310
armastama		2433
tooma	kokku	55
sõeluma	läbi	4
eksima	ära	59
ajama	ümber	21
sõitma	otsa	100
kukkuma	alla	142
nummerdama	ära	1
ehtima		234
otsima	üles	296
tulema	edasi	86
leidma	üles	483
suhtestama		5
modelleerima		92
joonistama		470
viskama		1880
koonduma		312
töötama	peal	2
jaotuma		125
tähistama	otsa	1
tükeldama	edasi	1
jääma	järele	224
mahtuma	sisse, ära	2
käsitama		285
alustama	juurest	1
keerama		1193
odavnema		31
sisenema		553
deformeeruma		17
sõitma		4799
libisema		428
kuhjuma		60
eksima		850
kalibreerima		10
nullima		36
tundma	ära	1165
auditeerima		25
austama		372
veeretama		154
mõtlema	välja	715
targutama		60
vaatama	ringi	436
äigama		44
haisema		208
sumbuma		46
vihjama		285
surema	välja	116
mäletama		3210
paistma		3811
hämmastama		111
halvustama		46
seisma	ees	169
käima	kaasas	151
pugema		431
istuma	edasi	29
minema	alla	133
saama	pihta	133
tüürima		69
hakkama	edasi	12
kohanduma		32
projekteerima	ümber	1
optimeerima		62
ootama	ära	198
tühjendama		125
eirama		221
joondama		9
lülituma	ümber	17
edastama	läbi	3
adresseerima		50
monitoorima		9
programmeerima	ümber	4
emuleerima		8
formeerima		35
langema	alla	40
pingutama		438
laskuma	tagasi	8
pidama	kinni	677
koolitama		267
kajastuma		308
olema	nõus	1282
tegema	valmis	121
olema	kohal	281
pühenduma		247
rühmituma		30
korreleeruma		183
ühildama		22
kõlama		1552
jääma	alla	451
liigutama		788
saatma	ära	88
saatma	kaasa	3
saatma	edasi	52
viibima		1453
lõikama	ära	86
statuma		14
konverteerima		33
konsulteerima		167
vajutama		509
avanema		993
olema	peale	43
vahetama	välja	269
tänama		977
rentima		118
tagama	ette	1
müüma	läbi	13
argumenteerima		47
annetama		132
toonitama		238
jagama	välja	60
vallutama		319
kaasfinantseerima		1
stimuleerima		145
üldistama		190
juhendama		207
kommenteerima		945
tavatsema		127
mehhaniseerima		20
diplomeerima		20
nimetama	ümber	41
lahkuma		2740
kurvastama		128
kvalifitseerima		158
saama	juurde	123
kureerima		23
ostma	sisse	33
vaidlema	vastu	277
osundama		41
näiksema		56
programmeerima		92
süvenema		453
teisaldama		17
pidurdama		380
viitsima		723
käitama		25
administreerima		10
püsima	koos	14
teisenduma		8
nihkuma		241
hämmelduma		24
viluma		51
jätma	ära	123
spetsialiseerima		42
logima	sisse	6
limiteerima		36
marsruutima		1
lahtuma		38
navigeerima		15
panustama		73
käsitelema		3
standardiseerima	välja	1
koguma	kokku	85
tooma	välja, välja	1
mugandama		23
julgustama		207
valima	kokku, välja	2
looma	välja	26
fokuseeruma		10
mõtisklema		215
käima	vastu	5
jätma	kõrvale	249
seletama		2375
tegema	juurde	24
hiilima	mööda	24
laekuma		474
isikustama		15
lükkama		783
taotlema		945
kolima		583
viima	kohale	19
kandma	kaasas	101
kandideerima		418
astuma	üles	175
grupeerima		47
arvama	kaasa	187
minema	rikki	6
eemalduma		268
paigutama	ette	3
põrkuma	tagasi	21
lükkama	välja	30
jääma	kinni	236
ajama	läbi	91
siirdama		93
järelduma		268
figureerima		45
postuleerima		23
astuma	edasi	137
kasutama	kokku	12
katsuma		807
liitma	kokku	40
kirjeldama	ära	6
liidestama		7
laadima	ümber	1
märgistama		137
viitma	läbi	1
jälitama		195
õigustama		704
möönma		453
napsama	ära	19
häkkima		4
hägustama		19
joonduma		24
motiveerima		214
osalema	kokku	35
kuulutama	välja	446
matkima		69
maksma	kinni	303
remontima		150
arvestama	edasi	2
määrama	edasi	3
koormama		139
takerduma		190
linkima		16
soetama		206
konfigureerima		18
liitma	juurde	7
pöörduma	kõrvale	10
töötama	ilma	3
tükeldama		85
tulema	ette	497
materialiseerima		3
õhendama		2
elama	üle	201
kontsentreerima		52
elimineerima		85
kutsuma	üles	139
suunama	ümber	18
maandama		96
kujutlema		468
rügama		36
pühitsema		133
pildistama		259
asustama		128
kerkima		894
siirduma		364
söandama		336
valvama		406
maadlema		88
mõtlema	läbi	113
helistama		1883
toimetama	sisse	2
ärritama		229
vedama		1275
jooksma		2076
lammutama		162
riietama		84
üürima		167
kuluma	kokku	15
kaasajastama		31
tulema	kaasa	227
asenduma		250
tõhustama		81
andma	kaasa	101
tõukama	tagant	20
spekuleerima		80
ununema		179
raskendama		260
pärssima		181
mõtestama		116
mitmekesistama		12
käsitsema		45
kerkima	üles	83
lahustama		32
visandama		67
vajama	lahti	1
kirjutama	juurde	22
trükkima	välja	30
loendama		166
maksma	kokku	41
tegema	ette	52
vajutama	alla	12
sobrama	ringi	1
mahtuma	ära	136
hakkama	peale	417
proovima	edasi	3
jääma	alles	259
lagunema		401
tegema	ära	715
kirjutama	järele	1
tulema	alla	120
lugema	kokku	109
keelduma		995
nuputama		57
lükkama	edasi	349
nihutama		234
tulema	vastu	384
seisma	vastu	96
viirastuma		73
kuluma	ära	175
panema	alla	66
tulema	tagasi	1403
töötama	koos	33
saama	lahti	487
kapselduma		11
kestma	sisse	1
ülehindama		43
taaselustama		24
soikuma		30
kohaldama		274
viima	üle	57
ehitama	valmis	53
pretendeerima		124
patenteerima		32
lahenema		144
esitama	peale	1
varisema	kokku	107
pelgama		346
kahtlema		822
vaidlustama		219
trasseerima		2
edestama		203
tarnima		46
tasakaalustama		201
refereerima		61
langema	kokku	306
salvestuma		26
rekonfigureerima		4
hiilgama		164
rõhuma		227
lekkima		58
saabuma	tagasi	43
leiutama		227
tükelduma		4
viimistlema		66
kuulduma		178
tekkima	juurde	39
tugevnema		153
kerkima	alles	1
nõudma	tagasi	68
kaevama		263
täpsustama		722
küsitlema		291
varjutama		127
riivama		270
aeglustuma		77
kalduma	kõrvale	81
kalduma		486
saama	üle	292
transportima		66
pruukima	valmis	2
inspekteerima		19
toimima	edasi	7
ärrituma		51
tihendama		63
jääma	ilma	392
lööma	välja	137
halvendama		117
ehitama	välja	41
jagama	laiali	48
kandma	edasi	76
kuuluma	alla	15
langema	välja	100
maksma	juurde	16
finantseerima		182
hõlmama	kokku	7
tegema	kokku	45
mõjustama		75
pigistama	kinni	106
võtma	käsile	30
komplitseerima		134
liikuma	edasi	279
müüma	kokku	13
komplekteerima		54
vaevama		379
naasma		618
kasvama	välja	203
siirduma	tagasi	7
vabandama	ette	2
taastootma		55
lõhkuma		439
vihkama		509
teritama		78
rikastuma		47
tsiteerima		348
kõigutama		151
liigendama		43
heitma	välja	80
tulema	ümber	2
tuletuma		9
leiduma	tagasi	1
vaagima		103
ristama		39
paigutama	ümber	32
tervitama		559
täituma		276
distsiplineerima		32
reglementeerima		27
kõrvutama		165
absolutiseerima		6
lipsama	sisse	21
üllatuma		239
aitama	välja	54
alustama	peale	20
taasavastama		13
suheldama		1
kommunikeeruma		6
asetuma		52
salgama		229
sammuma		257
