verb	total
sünteesima	192
nivelleerima	12
müstifitseerima	5
kultiveerima	50
varjuma	93
kodustama	34
protestima	110
kommunikeerima	4
ühtima	139
stabiliseeruma	74
reisima	278
kisama	112
okupeerima	84
legitimiseerima	3
tulistama	472
ronima	1135
palvetama	215
respekteerima	43
kummardama	318
ratifitseerima	81
represseerima	38
ülistama	136
lõimuma	4
reostama	46
võõrduma	33
häbenema	440
arreteerima	173
küüditama	95
rehabiliteerima	32
karastama	34
mulksuma	21
kütma	290
kõrvetama	160
opositsioneerima	1
tiksuma	107
rühkima	94
kummitama	140
paugutama	64
huvituma	202
nutma	1144
virisema	77
portreteerima	22
fookustuma	1
pillama	155
vähkrema	51
närima	269
tirisema	22
diskrimineerima	34
trivialiseerima	1
särama	494
meikima	23
suusatama	99
riietuma	160
stigmatiseerima	2
eskaleerima	3
pakendama	27
anduma	106
raporteerima	52
õiendama	209
risustama	20
hüvitama	276
rullima	70
minimaliseerima	5
destabiliseerima	9
purunema	238
lasuma	189
anketeerima	5
tehetama	1
reformima	56
prevalveerima	1
agregeerima	7
sislduma	1
lähetama	62
lihvima	132
transkribeerima	9
võrdsustama	122
kaunistama	237
vingerdama	59
hüüdma	1369
rahunema	286
kuuletuma	80
itsitama	233
kõndima	1276
pobisema	72
puristama	45
kummarduma	398
nokkima	124
sagima	48
kükitama	232
sõnelema	20
loivama	33
väänlema	54
mäletsema	12
kõõluma	57
vilistama	207
põrnitsema	214
ulatama	686
taunima	107
detsentraliseerima	19
kvantifitseerima	3
teoretiseerima	13
apolitiseeruma	1
professionaliseeruma	1
jahutama	126
tülitama	125
varastama	664
peksma	681
sadama	753
kastutama	1
kaklema	140
arvustama	96
seadustama	49
seottama	1
tuupima	47
püstituma	5
demokratiseerima	5
muuma	7
iseseisvuma	43
abielluma	663
redutseerima	74
abstraheeruma	8
võimenduma	43
paljunema	79
suunitlema	2
säiluma	16
lahvatama	119
kinnituma	96
regukleerima	1
maksimiseerima	4
kostuma	154
lävima	36
tagastama	295
tagandama	34
ibima	100
jõustuma	267
klassifitseeruma	4
normima	11
pressima	342
kannustama	42
rassima	39
utiliseerima	6
kolmekordistuma	6
embama	114
heituma	37
linema	3
väärama	16
põhistama	22
marguma	1
janunema	27
kumama	154
jutlustama	66
pahandama	322
ristima	202
karjatama	240
pingestuma	20
rändlema	3
kollektiviseerima	2
kauplema	294
ammenduma	47
normaliseerima	28
kohustuma	83
tasakaalustuma	11
kiusama	186
protesteerima	154
kimbutama	92
lindistama	119
fokusseerima	6
vaevlema	118
ajendama	145
tõusetuma	53
stabiliseerima	37
jalutama	913
matkama	47
akumuleeruma	34
degenereeruma	6
võõrutama	44
taaskäivitama	6
tagasisidestama	5
indikeerima	2
mõtestuma	2
sugereerima	16
destilleerima	19
hõrenema	31
taasaktualiseerima	1
suubuma	55
heiastuma	13
loenduma	1
demoniseerima	1
korrastuma	9
silmama	157
põlgama	206
pärandama	99
parkuma	11
toituma	105
kategoriseerima	22
heietama	77
ehmatama	328
hirmutama	225
päranduma	6
kantima	30
saadtuma	1
protokollima	17
diferentseeruma	27
teadvustuma	5
minimiseerima	7
sportima	25
imestuma	61
värbama	152
kooruma	82
konserveerima	36
praadima	140
kaubitsema	14
pooma	177
mitmekesistuma	6
